  x (normalized)   y (normalized)    zenith (um)   horizon (um)      z-grad (um)    r-grad (um)
  -8.8985324e-01   6.8450250e-02   2.5389151e-03   1.7166300e-04   5.3747864e-02  -1.0768544e-02
  -8.8985324e-01   8.3661415e-02   4.9845304e-03   6.6283439e-04   5.4371958e-02  -1.0875817e-02
  -8.8985324e-01   9.8872585e-02   5.0197095e-03   1.3518421e-03   5.5208583e-02  -1.1019653e-02
  -8.8985324e-01   1.1408375e-01   3.2355838e-03   2.0947936e-03   5.6181098e-02  -1.1187198e-02
  -8.8985324e-01   1.2929492e-01  -5.0790710e-04   2.8080674e-03   5.7209283e-02  -1.1361943e-02
  -8.8985324e-01   1.4450609e-01  -6.2849172e-03   3.7898115e-03   5.8367618e-02  -1.1558372e-02
  -8.8985324e-01   1.5971725e-01  -1.2561474e-02   4.7937386e-03   5.9703142e-02  -1.1784098e-02
  -8.8985324e-01   1.7492842e-01  -1.9418374e-02   6.0042501e-03   6.1114557e-02  -1.2008841e-02
  -8.8985324e-01   1.9013959e-01  -2.2766222e-02   6.2466111e-03   6.2665162e-02  -1.2260748e-02
  -8.8985324e-01   2.0535075e-01  -1.9743026e-02   4.3960667e-03   6.4340147e-02  -1.2546333e-02
  -8.8985324e-01   2.2056192e-01  -1.3220057e-02   1.4576403e-03   6.6123912e-02  -1.2854967e-02
  -8.8985324e-01   2.3577309e-01  -6.6269389e-03  -8.4588070e-04   6.8018827e-02  -1.3174684e-02
  -8.8985324e-01   2.5098425e-01  -6.2598583e-04  -1.8636031e-03   7.0050381e-02  -1.3509421e-02
  -8.8985324e-01   2.6619542e-01   5.3234616e-03  -1.8545269e-03   7.2233476e-02  -1.3865638e-02
  -8.8985324e-01   2.8140659e-01   9.4507605e-03  -2.0544459e-04   7.4543501e-02  -1.4240839e-02
  -8.8985324e-01   2.9661775e-01   1.0575134e-02   4.0781219e-03   7.6950926e-02  -1.4628574e-02
  -8.8985324e-01   3.1182892e-01   9.6668175e-03   1.2259175e-02   7.9548691e-02  -1.5042070e-02
  -8.8985324e-01   3.2704009e-01   8.1361193e-03   2.3773014e-02   8.2191385e-02  -1.5460522e-02
  -8.8985324e-01   3.4225125e-01   5.3610675e-03   3.9518131e-02   8.5019050e-02  -1.5900696e-02
  -8.8985324e-01   3.5746242e-01   3.0704009e-03   5.8162874e-02   8.7983265e-02  -1.6355801e-02
  -8.8985324e-01   3.7267359e-01   3.0945608e-03   7.9291393e-02   9.1085440e-02  -1.6824191e-02
  -8.7464210e-01  -4.0309592e-01  -3.2046449e-04  -7.8893156e-02   9.0327724e-02  -1.6743473e-02
  -8.7464210e-01  -3.8788476e-01  -4.5335661e-03  -6.3269077e-02   8.6929249e-02  -1.6221522e-02
  -8.7464210e-01  -3.7267359e-01  -6.3992322e-03  -4.8602403e-02   8.3688614e-02  -1.5716783e-02
  -8.7464210e-01  -3.5746242e-01  -6.3243327e-03  -3.2720127e-02   8.0584489e-02  -1.5233963e-02
  -8.7464210e-01  -3.4225125e-01  -2.9574210e-03  -1.9080138e-02   7.7643473e-02  -1.4769572e-02
  -8.7464210e-01  -3.2704009e-01   2.0269006e-03  -7.4583198e-03   7.4853848e-02  -1.4325461e-02
  -8.7464210e-01  -3.1182892e-01   5.1029946e-03   6.8572403e-04   7.2180333e-02  -1.3894144e-02
  -8.7464210e-01  -2.9661775e-01   6.8894525e-03   5.1658061e-03   6.9657728e-02  -1.3482194e-02
  -8.7464210e-01  -2.8140659e-01   7.1710049e-03   7.5324410e-03   6.7315033e-02  -1.3098776e-02
  -8.7464210e-01  -2.6619542e-01   4.8488152e-03   7.7967135e-03   6.5018918e-02  -1.2717772e-02
  -8.7464210e-01  -2.5098425e-01  -1.3724725e-04   6.8145940e-03   6.2773982e-02  -1.2343642e-02
  -8.7464210e-01  -2.3577309e-01  -5.4489514e-03   5.2021971e-03   6.0685837e-02  -1.1993323e-02
  -8.7464210e-01  -2.2056192e-01  -1.0297375e-02   2.9036339e-03   5.8802872e-02  -1.1673845e-02
  -8.7464210e-01  -2.0535075e-01  -1.4498692e-02   1.8270433e-04   5.7042517e-02  -1.1372393e-02
  -8.7464210e-01  -1.9013959e-01  -1.7046107e-02  -2.1432882e-03   5.5355462e-02  -1.1079929e-02
  -8.7464210e-01  -1.7492842e-01  -1.4470428e-02  -2.8459328e-03   5.3727886e-02  -1.0803059e-02
  -8.7464210e-01  -1.5971725e-01  -1.0004890e-02  -2.7994872e-03   5.2227831e-02  -1.0547862e-02
  -8.7464210e-01  -1.4450609e-01  -4.9918119e-03  -2.2036992e-03   5.0953876e-02  -1.0328228e-02
  -8.7464210e-01  -1.2929492e-01   4.6093071e-04  -1.3039107e-03   4.9879261e-02  -1.0138030e-02
  -8.7464210e-01  -1.1408375e-01   3.5742971e-03  -8.3986746e-04   4.8874476e-02  -9.9613811e-03
  -8.7464210e-01  -9.8872585e-02   4.8935016e-03  -5.3870331e-04   4.7988370e-02  -9.8070639e-03
  -8.7464210e-01  -8.3661415e-02   5.3342175e-03  -1.2769117e-04   4.7137175e-02  -9.6601996e-03
  -8.7464210e-01  -6.8450250e-02   4.1630950e-03   1.1262724e-04   4.6445860e-02  -9.5388363e-03
  -8.7464210e-01  -5.3239084e-02   1.6373993e-03   1.9658068e-04   4.5891955e-02  -9.4399911e-03
  -8.7464210e-01  -3.8027917e-02  -1.4521432e-03   1.2589724e-04   4.5540060e-02  -9.3770688e-03
  -8.7464210e-01  -2.2816750e-02  -3.9117278e-03   4.4896380e-05   4.5354535e-02  -9.3429126e-03
  -8.7464210e-01  -7.6055835e-03  -5.7641923e-03  -4.2936046e-05   4.5237929e-02  -9.3208493e-03
  -8.7464210e-01   7.6055835e-03  -5.7640639e-03  -1.6246203e-04   4.5237924e-02  -9.3208481e-03
  -8.7464210e-01   2.2816750e-02  -3.9113843e-03  -3.1461140e-04   4.5354519e-02  -9.3428928e-03
  -8.7464210e-01   3.8027917e-02  -1.4512145e-03  -2.8430484e-04   4.5540034e-02  -9.3770156e-03
  -8.7464210e-01   5.3239084e-02   1.6415128e-03  -1.3248431e-04   4.5891919e-02  -9.4399533e-03
  -8.7464210e-01   6.8450250e-02   4.1692841e-03   1.1288285e-05   4.6445603e-02  -9.5387820e-03
  -8.7464210e-01   8.3661415e-02   5.3406203e-03   2.9024035e-04   4.7136758e-02  -9.6601128e-03
  -8.7464210e-01   9.8872585e-02   4.8997177e-03   7.4015253e-04   4.7988013e-02  -9.8069875e-03
  -8.7464210e-01   1.1408375e-01   3.5812773e-03   1.0208146e-03   4.8874398e-02  -9.9613303e-03
  -8.7464210e-01   1.2929492e-01   4.6986680e-04   1.3846967e-03   4.9879173e-02  -1.0138007e-02
  -8.7464210e-01   1.4450609e-01  -4.9774599e-03   2.0574735e-03   5.0953778e-02  -1.0328203e-02
  -8.7464210e-01   1.5971725e-01  -9.9885179e-03   2.6403875e-03   5.2227772e-02  -1.0547846e-02
  -8.7464210e-01   1.7492842e-01  -1.4455677e-02   3.0214864e-03   5.3728097e-02  -1.0803096e-02
  -8.7464210e-01   1.9013959e-01  -1.7033091e-02   2.6375877e-03   5.5355482e-02  -1.1079930e-02
  -8.7464210e-01   2.0535075e-01  -1.4480912e-02   3.6299213e-04   5.7042097e-02  -1.1372279e-02
